Orthogroup	Duplications (all)	Duplications (50% support)
OG0000415	23	16
OG0000416	35	27
OG0000417	22	19
OG0000418	61	58
OG0000419	27	24
OG0000420	21	9
OG0000421	26	21
OG0000422	36	28
OG0000423	40	35
OG0000424	78	78
OG0000425	38	27
OG0000426	59	52
OG0000427	15	12
OG0000428	26	15
OG0000429	29	23
OG0000430	32	25
OG0000431	26	19
OG0000432	32	23
OG0000433	26	24
OG0000434	21	15
OG0000435	57	51
OG0000436	44	36
OG0000437	26	23
OG0000438	46	38
OG0000439	31	23
OG0000440	19	14
OG0000441	25	15
OG0000442	28	16
OG0000443	22	17
OG0000444	25	15
OG0000445	33	28
OG0000446	18	12
OG0000447	29	20
OG0000448	30	24
OG0000449	42	32
OG0000450	29	23
OG0000451	46	36
OG0000452	28	15
OG0000453	44	43
OG0000454	27	19
OG0000455	24	21
OG0000456	21	16
OG0000457	27	17
OG0000458	30	30
OG0000459	28	21
OG0000460	22	16
OG0000461	26	19
OG0000462	21	15
OG0000463	27	18
OG0000464	34	28
OG0000465	23	17
OG0000466	17	14
OG0000467	18	11
OG0000468	28	23
OG0000469	22	14
OG0000470	23	18
OG0000471	45	41
OG0000472	76	76
OG0000473	29	19
OG0000474	25	17
OG0000475	16	10
OG0000476	36	32
OG0000477	45	42
OG0000478	33	18
OG0000479	23	17
OG0000480	21	17
OG0000481	29	24
OG0000482	23	18
OG0000483	19	13
OG0000484	44	39
OG0000485	34	23
OG0000486	34	32
OG0000487	21	14
OG0000488	20	14
OG0000489	20	16
OG0000490	19	12
OG0000491	18	15
OG0000492	42	37
OG0000493	18	11
OG0000494	37	35
OG0000495	27	22
OG0000496	16	12
OG0000497	20	14
OG0000498	39	36
OG0000499	20	14
OG0000500	35	25
OG0000501	26	19
OG0000502	69	55
OG0000503	32	24
OG0000504	25	21
OG0000505	23	18
OG0000506	25	10
OG0000507	25	18
OG0000508	18	11
OG0000509	17	11
OG0000510	29	25
OG0000511	35	25
OG0000512	50	38
OG0000513	20	17
OG0000514	31	26
OG0000515	28	24
OG0000516	18	11
OG0000517	20	14
OG0000518	20	12
OG0000519	23	20
OG0000520	26	24
OG0000521	25	16
OG0000522	20	14
OG0000523	19	8
OG0000524	39	35
OG0000525	49	45
OG0000526	22	12
OG0000527	28	21
OG0000528	28	23
OG0000529	13	9
OG0000530	35	33
OG0000531	23	20
OG0000532	24	18
OG0000533	21	14
OG0000534	17	6
OG0000535	24	20
OG0000536	31	24
OG0000537	21	16
OG0000538	40	31
OG0000539	40	34
OG0000540	18	10
OG0000541	18	9
OG0000542	24	20
OG0000543	17	11
OG0000544	26	16
OG0000545	19	16
OG0000546	24	15
OG0000547	31	29
OG0000548	20	12
OG0000549	14	8
OG0000550	19	16
OG0000551	47	42
OG0000552	25	21
OG0000553	30	28
OG0000554	35	27
OG0000555	17	11
OG0000556	22	13
OG0000557	36	25
OG0000558	23	18
OG0000559	23	22
OG0000560	17	8
OG0000561	21	17
OG0000562	33	31
OG0000563	25	17
OG0000564	23	15
OG0000565	27	23
OG0000566	33	20
OG0000567	30	26
OG0000568	18	10
OG0000569	16	10
OG0000570	11	8
OG0000571	22	18
OG0000572	49	37
OG0000573	20	14
OG0000574	24	18
OG0000575	63	63
OG0000576	25	20
OG0000577	24	19
OG0000578	34	21
OG0000579	19	12
OG0000580	21	16
OG0000581	20	14
OG0000582	17	11
OG0000583	18	12
OG0000584	19	12
OG0000585	14	9
OG0000586	18	13
OG0000587	26	16
OG0000588	20	16
OG0000589	20	11
OG0000590	64	56
OG0000591	21	18
OG0000592	29	26
OG0000593	18	14
OG0000594	17	14
OG0000595	20	12
OG0000596	19	7
OG0000597	25	18
OG0000598	23	15
OG0000599	24	15
OG0000600	19	17
OG0000601	19	11
OG0000602	20	15
OG0000603	50	35
OG0000604	65	65
OG0000605	28	21
OG0000606	12	7
OG0000607	21	16
OG0000608	13	9
OG0000609	24	18
OG0000610	19	14
OG0000611	26	17
OG0000612	19	14
OG0000613	20	12
OG0000614	25	13
OG0000615	20	9
OG0000616	21	18
OG0000617	16	13
OG0000618	24	16
OG0000619	27	24
OG0000620	20	11
OG0000621	21	14
OG0000622	46	40
OG0000623	17	12
OG0000624	18	16
OG0000625	16	10
OG0000626	15	9
OG0000627	23	17
OG0000628	23	21
OG0000629	20	18
OG0000630	43	28
OG0000631	26	24
OG0000632	64	64
OG0000633	57	56
OG0000634	27	22
OG0000635	13	7
OG0000636	32	22
OG0000637	18	8
OG0000638	23	16
OG0000639	16	14
OG0000640	25	21
OG0000641	21	19
OG0000642	32	28
OG0000643	17	13
OG0000644	13	9
OG0000645	21	16
OG0000646	11	6
OG0000647	20	14
OG0000648	21	17
OG0000649	18	11
OG0000650	20	9
OG0000651	14	12
OG0000652	63	63
OG0000653	13	8
OG0000654	27	23
